,timestamp,Ask,Bid,By on,Profits by Link,Volume,Total Profits in USDT,Cumulative of Total Profits in USDT
1877,2021-08-20 01:36:42,27.122,27.1249,Binance,0.0029000000000003467,2.5,0.007250000000000867,173.15770744606502
1878,2021-08-20 01:36:43,27.122,27.1258,Binance,0.003800000000001802,0.74,0.0028120000000013334,173.16051944606502
1879,2021-08-20 01:36:43,27.122,27.1251,Binance,0.0030999999999998806,1.95,0.006044999999999767,173.16656444606502
1880,2021-08-20 01:36:43,27.122,27.1249,Binance,0.0029000000000003467,2.5,0.007250000000000867,173.17381444606502
1881,2021-08-20 01:36:44,27.121,27.122,Binance,0.0010000000000012221,0.28,0.0002800000000003422,173.17409444606503
1882,2021-08-20 01:36:44,27.121,27.1249,Binance,0.003900000000001569,2.5,0.009750000000003922,173.18384444606502
1883,2021-08-20 01:36:44,27.121,27.1258,Binance,0.004800000000003024,0.74,0.003552000000002238,173.18739644606504
1884,2021-08-20 01:36:44,27.121,27.1251,Binance,0.004100000000001103,1.95,0.00799500000000215,173.19539144606503
1885,2021-08-20 01:36:45,27.116,27.1258,Binance,0.00980000000000203,0.044,0.00043120000000008925,173.19582264606504
1886,2021-08-20 01:36:45,27.12,27.1258,Binance,0.0058000000000006935,0.696,0.004036800000000482,173.19985944606503
1887,2021-08-20 01:36:45,27.12,27.1251,Binance,0.005099999999998772,1.95,0.009944999999997605,173.20980444606502
1888,2021-08-20 01:36:45,27.12,27.1249,Binance,0.004899999999999238,2.5,0.012249999999998096,173.22205444606502
1889,2021-08-20 01:36:45,27.12,27.122,Binance,0.0019999999999988916,0.28,0.0005599999999996897,173.22261444606502
1890,2021-08-20 01:36:46,27.113,27.1147,Binance,0.0016999999999995907,0.51,0.0008669999999997913,173.22348144606502
1891,2021-08-20 01:36:46,27.113,27.1149,Binance,0.0018999999999991246,0.22,0.0004179999999998074,173.22389944606502
1892,2021-08-20 01:36:46,27.113,27.1154,Binance,0.002400000000001512,3.08,0.007392000000004657,173.23129144606503
1893,2021-08-20 01:36:46,27.113,27.1153,Binance,0.002300000000001745,0.04,9.200000000006981e-05,173.23138344606502
1894,2021-08-20 01:36:47,27.113,27.1154,Binance,0.002400000000001512,3.08,0.007392000000004657,173.23877544606503
1895,2021-08-20 01:36:47,27.113,27.1153,Binance,0.002300000000001745,0.04,9.200000000006981e-05,173.23886744606503
1896,2021-08-20 01:36:47,27.113,27.1149,Binance,0.0018999999999991246,0.22,0.0004179999999998074,173.23928544606503
